track,type,nhsrregion,language,glottocode,iso,level,rhythm,melody
1,LULLABY,NHS-R03,Aranda,aran1263,0,family,,
2,HEALING,NHS-R13,Anggor,ango1254,agg,language,,
3,LULLABY,NHS-R21,Blackfoot,pieg1239,0,dialect,,
4,HEALING,NHS-R24,Andamans,grea1241|jara1244,#N/A,#N/A,,
5,DANCE,NHS-R06,Emberá,nort2972,emp,language,,
6,HEALING,NHS-R30,Akan,asan1239,0,dialect,,
7,LOVE,NHS-R10,Bahia Brazilians,braz1246,0,dialect,,
8,LOVE,NHS-R06,Emberá,nort2972,emp,language,,
9,LULLABY,NHS-R12,Maya (Yucatan Peninsula),yuca1254,yua,language,,
10,LOVE,NHS-R19,Haida,nort2983,0,dialect,,
11,HEALING,NHS-R14,Chuuk,chuu1238,chk,language,,
12,LOVE,NHS-R30,Akan,asan1239,0,dialect,,
13,DANCE,NHS-R03,Aranda,aran1263,0,family,,
14,DANCE,NHS-R07,Aymara,cent2142,ayr,language,,
15,LOVE,NHS-R21,Blackfoot,pieg1239,0,dialect,,
16,LOVE,NHS-R20,Chachi,chac1249,cbi,language,,
17,LOVE,NHS-R08,Ainu,ainu1240,ain,language,,
18,LOVE,NHS-R04,Highland Scots,scot1245,gla,language,,
19,LOVE,NHS-R01,Javaé,java1255,0,dialect,,
20,DANCE,NHS-R21,Blackfoot,pieg1239,0,dialect,,
21,LULLABY,NHS-R23,Saami,lule1254,smj,language,,
22,DANCE,NHS-R10,Bahia Brazilians,braz1246,0,dialect,,
23,HEALING,NHS-R18,Huichol,huic1243,hch,language,,
24,HEALING,NHS-R01,Javaé,java1255,0,dialect,,
25,DANCE,NHS-R05,Aka,bamb1264,0,dialect,,
26,LOVE,NHS-R16,Chukchee,chuk1273,ckt,language,,
27,HEALING,NHS-R27,Bemba,town1238,0,dialect,,
28,LOVE,NHS-R02,Copper Inuit,copp1244,0,dialect,,
29,DANCE,NHS-R26,Georgia,imer1248,0,dialect,,
30,DANCE,NHS-R23,Saami,lule1254,smj,language,,
31,HEALING,NHS-R11,Iroquois,iroq1247,0,family,,
32,DANCE,NHS-R11,Iroquois,iroq1247,0,family,,
33,HEALING,NHS-R12,Maya (Yucatan Peninsula),yuca1254,yua,language,,
34,LULLABY,NHS-R20,Chachi,chac1249,cbi,language,,
35,DANCE,NHS-R17,Gourara,gour1247,0,dialect,,
36,DANCE,NHS-R02,Copper Inuit,copp1244,0,dialect,,
37,LULLABY,NHS-R01,Javaé,java1255,0,dialect,,
38,HEALING,NHS-R10,Bahia Brazilians,braz1246,0,dialect,,
39,LULLABY,NHS-R27,Bemba,town1238,0,dialect,,
40,LULLABY,NHS-R05,Aka,bamb1264,0,dialect,,
41,HEALING,NHS-R26,Georgia,imer1248,0,dialect,,
42,DANCE,NHS-R08,Ainu,ainu1240,ain,language,,
43,LULLABY,NHS-R04,Highland Scots,scot1245,gla,language,,
44,LULLABY,NHS-R18,Huichol,huic1243,hch,language,,
45,LOVE,NHS-R17,Gourara,gour1247,0,dialect,,
46,DANCE,NHS-R24,Andamans,grea1241|jara1244,#N/A,#N/A,,
47,LOVE,NHS-R07,Aymara,cent2142,ayr,language,,
48,LULLABY,NHS-R15,Kurds,cent1972,ckb,language,,
49,LULLABY,NHS-R30,Akan,asan1239,0,dialect,,
50,DANCE,NHS-R22,Hawaiians,hawa1245,haw,language,,
51,LULLABY,NHS-R22,Hawaiians,hawa1245,haw,language,,
52,LOVE,NHS-R23,Saami,lule1254,smj,language,,
53,LOVE,NHS-R22,Hawaiians,hawa1245,haw,language,,
54,HEALING,NHS-R06,Emberá,nort2972,emp,language,,
55,LULLABY,NHS-R24,Andamans,grea1241|jara1244,#N/A,#N/A,,
56,HEALING,NHS-R21,Blackfoot,pieg1239,0,dialect,,
57,LOVE,NHS-R03,Aranda,aran1263,0,family,,
58,LOVE,NHS-R13,Anggor,ango1254,agg,language,,
59,LULLABY,NHS-R10,Bahia Brazilians,braz1246,0,dialect,,
60,HEALING,NHS-R25,Central Thai,thai1261,tha,language,,
61,LOVE,NHS-R05,Aka,bamb1264,0,dialect,,
62,LULLABY,NHS-R08,Ainu,ainu1240,ain,language,,
63,DANCE,NHS-R09,Amhara,amha1245,amh,language,,
64,HEALING,NHS-R08,Ainu,ainu1240,ain,language,,
65,LOVE,NHS-R27,Bemba,town1238,0,dialect,,
66,HEALING,NHS-R15,Kurds,cent1972,ckb,language,,
67,LULLABY,NHS-R16,Chukchee,chuk1273,ckt,language,,
68,DANCE,NHS-R27,Bemba,town1238,0,dialect,,
69,LOVE,NHS-R18,Huichol,huic1243,hch,language,,
70,LULLABY,NHS-R13,Anggor,ango1254,agg,language,,
71,LULLABY,NHS-R26,Georgia,imer1248,0,dialect,,
72,DANCE,NHS-R19,Haida,nort2983,0,dialect,,
73,LULLABY,NHS-R17,Gourara,gour1247,0,dialect,,
74,LOVE,NHS-R12,Maya (Yucatan Peninsula),yuca1254,yua,language,,
75,HEALING,NHS-R19,Haida,nort2983,0,dialect,,
76,LULLABY,NHS-R09,Amhara,amha1245,amh,language,,
77,LOVE,NHS-R28,Alacaluf,qawa1238,alc,language,,
78,DANCE,NHS-R20,Chachi,chac1249,cbi,language,,
79,DANCE,NHS-R14,Chuuk,chuu1238,chk,language,,
80,HEALING,NHS-R29,Hopi,hopi1249,hop,language,,
81,HEALING,NHS-R22,Hawaiians,hawa1245,haw,language,,
82,DANCE,NHS-R13,Anggor,ango1254,agg,language,,
83,HEALING,NHS-R17,Gourara,gour1247,0,dialect,,
84,DANCE,NHS-R15,Kurds,cent1972,ckb,language,,
85,LOVE,NHS-R09,Amhara,amha1245,amh,language,,
86,LOVE,NHS-R11,Iroquois,iroq1247,0,family,,
87,LULLABY,NHS-R19,Haida,nort2983,0,dialect,,
88,DANCE,NHS-R28,Alacaluf,qawa1238,alc,language,,
89,DANCE,NHS-R01,Javaé,java1255,0,dialect,,
90,DANCE,NHS-R25,Central Thai,thai1261,tha,language,,
91,DANCE,NHS-R30,Akan,asan1239,0,dialect,,
92,LOVE,NHS-R24,Andamans,grea1241|jara1244,#N/A,#N/A,,
93,LULLABY,NHS-R06,Emberá,nort2972,emp,language,,
94,LOVE,NHS-R14,Chuuk,chuu1238,chk,language,,
95,LULLABY,NHS-R28,Alacaluf,qawa1238,alc,language,,
96,HEALING,NHS-R02,Copper Inuit,copp1244,0,dialect,,
97,LOVE,NHS-R26,Georgia,imer1248,0,dialect,,
98,DANCE,NHS-R12,Maya (Yucatan Peninsula),yuca1254,yua,language,,
99,LULLABY,NHS-R02,Copper Inuit,copp1244,0,dialect,,
100,LULLABY,NHS-R07,Aymara,cent2142,ayr,language,,
101,LULLABY,NHS-R11,Iroquois,iroq1247,0,family,,
102,HEALING,NHS-R16,Chukchee,chuk1273,ckt,language,,
103,DANCE,NHS-R04,Highland Scots,scot1245,gla,language,,
104,LOVE,NHS-R15,Kurds,cent1972,ckb,language,,
105,LOVE,NHS-R25,Central Thai,thai1261,tha,language,,
106,DANCE,NHS-R16,Chukchee,chuk1273,ckt,language,,
107,HEALING,NHS-R28,Alacaluf,qawa1238,alc,language,,
108,HEALING,NHS-R03,Aranda,aran1263,0,family,,
109,HEALING,NHS-R20,Chachi,chac1249,cbi,language,,
110,DANCE,NHS-R29,Hopi,hopi1249,hop,language,,
111,LULLABY,NHS-R29,Hopi,hopi1249,hop,language,,
112,HEALING,NHS-R07,Aymara,cent2142,ayr,language,,
113,HEALING,NHS-R09,Amhara,amha1245,amh,language,,
114,LULLABY,NHS-R14,Chuuk,chuu1238,chk,language,,
115,DANCE,NHS-R18,Huichol,huic1243,hch,language,,
116,HEALING,NHS-R05,Aka,bamb1264,0,dialect,,
117,LULLABY,NHS-R25,Central Thai,thai1261,tha,language,,
118,LOVE,NHS-R29,Hopi,hopi1249,hop,language,,